LBL,Hypoxia_grp,Aggregate_grp,Aggregate_grp2,Func_grp,General_grouping,              Family,             Order ,Class ,TSN,NODC_CODE
capitella capitata complex,Polychaete,polychaete,polychaete,worms,polychaete,Capitellidae,Scolecida,Polychaeta,,
capitellidae,Polychaete,polychaete,polychaete,worms,polychaete,Capitellidae,Scolecida,Polychaeta,,
Capitellides jonesi,Polychaete,polychaete,polychaete,worms,polychaete,Capitellidae,Scolecida,Polychaeta,67450,
capitellides sp.,Polychaete,polychaete,polychaete,worms,polychaete,Capitellidae,Scolecida,Polychaeta,,
capitomastus aciculatus,Polychaete,polychaete,polychaete,worms,polychaete,Capitellidae,Scolecida,Polychaeta,,
Carazziella hobsonae,Polychaete,polychaete,polychaete,worms,polychaete,Spionidae   ,Spionida,Polychaeta,67003,
Caulleriella venefica,Polychaete,polychaete,polychaete,worms,polychaete,Cirratulidae,Terebellida,Polychaeta,#N/A,
Ceratonereis irritabili,Polychaete,polychaete,polychaete,worms,polychaete,Nereididae,Phyllodocida,Polychaeta,#N/A,
ceratonereis irritabilis,Polychaete,polychaete,polychaete,worms,polychaete,Nereididae,Phyllodocida,Polychaeta,65874,
Chaetopterus variopedat,Polychaete,polychaete,polychaete,worms,polychaete,Chaetopteridae,Phyllodocida,Polychaeta,#N/A,
chaetopterus variopedatus,Polychaete,polychaete,polychaete,worms,polychaete,Chaetopteridae,Phyllodocida,Polychaeta,67097,
Chaetozone setosa,Polychaete,polychaete,polychaete,worms,polychaete,Cirratulidae,Terebellida,Polychaeta,67157,
Cirratulidae,Polychaete,polychaete,polychaete,worms,polychaete,Cirratulidae,Terebellida,Polychaeta,67116,
Cirrophorus furcatus,Polychaete,polychaete,polychaete,worms,polychaete,Paraonidae,Cirratulida,Polychaeta,66714,
Cirrophorus lyriformis,Polychaete,polychaete,polychaete,worms,polychaete,Paraonidae,Cirratulida,Polychaeta,66709,
Cirrophorus spp.,Polychaete,polychaete,polychaete,worms,polychaete,Paraonidae,Cirratulida,Polychaeta,#N/A,
Clymenella torquata,Polychaete,polychaete,polychaete,worms,polychaete,Maldanidae,Scolecida,Polychaeta,67528,
cossuridae,Polychaete,polychaete,polychaete,worms,polychaete,Cossuridae,Scolecida,Polychaeta,,
Demonax microphthalmus,Polychaete,polychaete,polychaete,worms,polychaete,Sabellidae,Canalipalpata,Polychaeta,68222,
Diopatra cuprea,Polychaete,polychaete,polychaete,worms,polychaete,Onuphidae,Eunicida  ,Polychaeta,66180,
Dipolydora caulleryi,Polychaete,polychaete,polychaete,worms,polychaete,Spionidae   ,Spionida ,Polychaeta,#N/A,
dipolydora commensalis,Polychaete,polychaete,polychaete,worms,polychaete,Spionidae   ,Spionida ,Polychaeta,,
Dipolydora quadrilobata,Polychaete,polychaete,polychaete,worms,polychaete,Spionidae   ,Spionida ,Polychaeta,#N/A,
Dipolydora socialis,Polychaete,polychaete,polychaete,worms,polychaete,Spionidae   ,Spionida ,Polychaeta,#N/A,
Dorvillea rudolphi,Polychaete,polychaete,polychaete,worms,polychaete,Dorvilleidae,Eunicida  ,Polychaeta,66525,
Drilonereis longa,Polychaete,polychaete,polychaete,worms,polychaete,Oenonidae,Eunicida  ,Polychaeta,66426,
Drilonereis magna,Polychaete,polychaete,polychaete,worms,polychaete,Oenonidae,Eunicida  ,Polychaeta,66431,
Drilonereis spp.,Polychaete,polychaete,polychaete,worms,polychaete,Oenonidae,Eunicida  ,Polychaeta,#N/A,
Eteone foliosa,Polychaete,polychaete,polychaete,worms,polychaete,Phyllodocidae,Phyllodocida,Polychaeta,65270,
Eteone heteropoda,Polychaete,polychaete,polychaete,worms,polychaete,Phyllodocidae,Phyllodocida,Polychaeta,65266,
Eteone lactea,Polychaete,polychaete,polychaete,worms,polychaete,Phyllodocidae,Phyllodocida,Polychaeta,65267,
eteone longa,Polychaete,polychaete,polychaete,worms,polychaete,Phyllodocidae,Phyllodocida,Polychaeta,,
Euclymene zonalis,Polychaete,polychaete,polychaete,worms,polychaete,Maldanidae,Scolecida,Polychaeta,67586,
eumida sanguinea,Polychaete,polychaete,polychaete,worms,polychaete,Phyllodocidae,Phyllodocida,Polychaeta,,
Exogone dispar,Polychaete,polychaete,polychaete,worms,polychaete,Syllidae   ,Phyllodocida,Polychaeta,65722,
genetyllis castanea,Polychaete,polychaete,polychaete,worms,polychaete,Phyllodocidae,Phyllodocida,Polychaeta,,
Glycera americana,Polychaete,polychaete,polychaete,worms,polychaete,Glyceridae,Phyllodocida,Polychaeta,66106,
glycera capitata,Polychaete,polychaete,polychaete,worms,polychaete,Glyceridae,Phyllodocida,Polychaeta,,
Glycera dibranchiata,Polychaete,polychaete,polychaete,worms,polychaete,Glyceridae,Phyllodocida,Polychaeta,66107,
Glycera robusta,Polychaete,polychaete,polychaete,worms,polychaete,Glyceridae,Phyllodocida,Polychaeta,66108,
glycera sphyrabrancha,Polychaete,polychaete,polychaete,worms,polychaete,Glyceridae,Phyllodocida,Polychaeta,,
Glycera spp.,Polychaete,polychaete,polychaete,worms,polychaete,Glyceridae,Phyllodocida,Polychaeta,#N/A,
Glycinde solitaria,Polychaete,polychaete,polychaete,worms,polychaete,Goniadidae,Phyllodocida,Polychaeta,66132,
Gyptis crypta,Polychaete,polychaete,polychaete,worms,polychaete,Hesionidae,Phyllodocida,Polychaeta,#N/A,
Harmothoe extenuata,Polychaete,polychaete,polychaete,worms,polychaete,Polynoidae,Phyllodocida,Polychaeta,64509,
Harmothoe spp.,Polychaete,polychaete,polychaete,worms,polychaete,Polynoidae,Phyllodocida,Polychaeta,#N/A,
hauchiella sp. a kritzler,Polychaete,polychaete,polychaete,worms,polychaete,Terebellidae,Terebellida,Polychaeta,,
hemipodus roseus,Polychaete,polychaete,polychaete,worms,polychaete,Glyceridae,Phyllodocida,Polychaeta,,
hermundura americana,Polychaete,polychaete,polychaete,worms,polychaete,Pilargidae,Phyllodocida,Polychaeta,,
hermundura fauveli,Polychaete,polychaete,polychaete,worms,polychaete,Pilargidae,Phyllodocida,Polychaeta,,
Heteromastus filiformis,Polychaete,polychaete,polychaete,worms,polychaete,Capitellidae,Scolecida,Polychaeta,67420,
Hobsonia florida,Polychaete,polychaete,polychaete,worms,polychaete,Ampharetidae,Terebellida,Polychaeta,67755,
Hydroides dianthus,Polychaete,polychaete,polychaete,worms,polychaete,Serpulidae,Sabellida,Polychaeta,68282,
Hydroides protulicola,Polychaete,polychaete,polychaete,worms,polychaete,Serpulidae,Sabellida,Polychaeta,68283,
Laeonereis culveri,Polychaete,polychaete,polychaete,worms,polychaete,Nereididae,Phyllodocida,Polychaeta,65965,
Leitoscoloplos fragilis,Polychaete,polychaete,polychaete,worms,polychaete,Orbiniidae,Scolecida,Polychaeta,66656,
Leitoscoloplos robustus,Polychaete,polychaete,polychaete,worms,polychaete,Orbiniidae,Scolecida,Polychaeta,182728,
Leitoscoloplos spp.,Polychaete,polychaete,polychaete,worms,polychaete,Orbiniidae,Scolecida,Polychaeta,#N/A,
Lepidametria commensali,Polychaete,polychaete,polychaete,worms,polychaete,Polynoidae,Phyllodocida,Polychaeta,#N/A,
lepidametria commensalis,Polychaete,polychaete,polychaete,worms,polychaete,Polynoidae,Phyllodocida,Polychaeta,,
Lepidonotus sublevis,Polychaete,polychaete,polychaete,worms,polychaete,Polynoidae,Phyllodocida,Polychaeta,64610,
lepidonotus variabilis,Polychaete,polychaete,polychaete,worms,polychaete,Polynoidae,Phyllodocida,Polychaeta,,
Levinsenia gracilis,Polychaete,polychaete,polychaete,worms,polychaete,Paraonidae,Cirratulida,Polychaeta,66729,
Loimia medusa,Polychaete,polychaete,polychaete,worms,polychaete,Terebellidae,Terebellida,Polychaeta,68015,
Loimia spp.,Polychaete,polychaete,polychaete,worms,polychaete,Terebellidae,Terebellida,Polychaeta,#N/A,
loimia viridis,Polychaete,polychaete,polychaete,worms,polychaete,Terebellidae,Terebellida,Polychaeta,,
lumbrineridae,Polychaete,polychaete,polychaete,worms,polychaete,Lumbrineridae,Eunicida  ,Polychaeta,,
Lysidice ninetta,Polychaete,polychaete,polychaete,worms,polychaete,Eunicidae,Eunicida  ,Polychaeta,66320,
lysidice unicornis,Polychaete,polychaete,polychaete,worms,polychaete,Eunicidae,Eunicida  ,Polychaeta,,
lysilla alba,Polychaete,polychaete,polychaete,worms,polychaete,Terebellidae,Terebellida,Polychaeta,,
Magelona spp.,Polychaete,polychaete,polychaete,worms,polychaete,Magelonidae,Spionida,Polychaeta,#N/A,
Maldanidae,Polychaete,polychaete,polychaete,worms,polychaete,Maldanidae,Scolecida,Polychaeta,67515,
Malmgreniella taylori,Polychaete,polychaete,polychaete,worms,polychaete,Polynoidae,Phyllodocida,Polychaeta,#N/A,
Manayunkia aestuarina,Polychaete,polychaete,polychaete,worms,polychaete,Fabriciidae,Sabellida,Polychaeta,68171,
Marenzelleria viridis,Polychaete,polychaete,polychaete,worms,polychaete,Spionidae   ,Spionida,Polychaeta,#N/A,
marphysa sanguinea,Polychaete,polychaete,polychaete,worms,polychaete,Eunicidae,Eunicida  ,Polychaeta,,
Mediomastus ambiseta,Polychaete,polychaete,polychaete,worms,polychaete,Capitellidae,Scolecida,Polychaeta,67439,
melinna maculata,Polychaete,polychaete,polychaete,worms,polychaete,Terebellidae,Terebellida,Polychaeta,,
Microphthalmus aberrans,Polychaete,polychaete,polychaete,worms,polychaete,Hesionidae,Phyllodocida,Polychaeta,65478,
Microphthalmus sczelkow,Polychaete,polychaete,polychaete,worms,polychaete,Hesionidae,Phyllodocida,Polychaeta,#N/A,
microphthalmus sczelkowii,Polychaete,polychaete,polychaete,worms,polychaete,Hesionidae,Phyllodocida,Polychaeta,,
Microphthalmus spp.,Polychaete,polychaete,polychaete,worms,polychaete,Hesionidae,Phyllodocida,Polychaeta,#N/A,
Microspio pigmentata,Polychaete,polychaete,polychaete,worms,polychaete,Spionidae   ,Spionida,Polychaeta,66972,
Monticellina dorsobranc,Polychaete,polychaete,polychaete,worms,polychaete,Cirratulidae,Terebellida,Polychaeta,#N/A,
monticellina dorsobranchialis,Polychaete,polychaete,polychaete,worms,polychaete,Cirratulidae,Terebellida,Polychaeta,,
mystides borealis,Polychaete,polychaete,polychaete,worms,polychaete,Phyllodocidae,Phyllodocida,Polychaeta,,
neanthes arenaceodentata,Polychaete,polychaete,polychaete,worms,polychaete,Nereididae,Phyllodocida,Polychaeta,,
Neanthes succinea,Polychaete,polychaete,polychaete,worms,polychaete,Nereididae,Phyllodocida,Polychaeta,65918,
Nephtyidae,Polychaete,polychaete,polychaete,worms,polychaete,Nephtyidae        ,Phyllodocida,Polychaeta,66010,
Nephtys bucera,Polychaete,polychaete,polychaete,worms,polychaete,Nephtyidae        ,Phyllodocida,Polychaeta,66027,
Nephtys incisa,Polychaete,polychaete,polychaete,worms,polychaete,Nephtyidae        ,Phyllodocida,Polychaeta,66028,
Nephtys picta,Polychaete,polychaete,polychaete,worms,polychaete,Nephtyidae        ,Phyllodocida,Polychaeta,66030,
Nephtys spp.,Polychaete,polychaete,polychaete,worms,polychaete,Nephtyidae        ,Phyllodocida,Polychaeta,#N/A,
Nereididae,Polychaete,polychaete,polychaete,worms,polychaete,Nereididae,Phyllodocida,Polychaeta,#N/A,
nereis grayi,Polychaete,polychaete,polychaete,worms,polychaete,Nereididae,Phyllodocida,Polychaeta,,
Nereis spp.,Polychaete,polychaete,polychaete,worms,polychaete,Nereididae,Phyllodocida,Polychaeta,#N/A,
notocirrus spiniferus,Polychaete,polychaete,polychaete,worms,polychaete,Oenonidae,Eunicida  ,Polychaeta,            ,
notomastus hemipodus,Polychaete,polychaete,polychaete,worms,polychaete,Capitellidae,Scolecida,Polychaeta,,
Notomastus sp. A Ewing,Polychaete,polychaete,polychaete,worms,polychaete,Capitellidae,Scolecida,Polychaeta,#N/A,
Notomastus spp.,Polychaete,polychaete,polychaete,worms,polychaete,Capitellidae,Scolecida,Polychaeta,#N/A,
odontosyllis fulgurans,Polychaete,polychaete,polychaete,worms,polychaete,Syllidae   ,Phyllodocida,Polychaeta,,
onuphis eremita,Polychaete,polychaete,polychaete,worms,polychaete,Onuphidae,Eunicida  ,Polychaeta,,
ophelia denticulata,Polychaete,polychaete,polychaete,worms,polychaete,Opheliidae,Scolecida,Polychaeta,,
Orbiniidae,Polychaete,polychaete,polychaete,worms,polychaete,Orbiniidae,Scolecida,Polychaeta,66570,
Owenia fusiformis,Polychaete,polychaete,polychaete,worms,polychaete,Oweniidae,Sabellida,Polychaeta,67647,
paradoneis sp. b morris,Polychaete,polychaete,polychaete,worms,polychaete,Paraonidae,Scolecida,Polychaeta,,
Parahesione luteola,Polychaete,polychaete,polychaete,worms,polychaete,Hesionidae,Phyllodocida,Polychaeta,65493,
Paranaitis speciosa,Polychaete,polychaete,polychaete,worms,polychaete,Phyllodocidae,Phyllodocida,Polychaeta,65321,
Parandalia tricuspis,Polychaete,polychaete,polychaete,worms,polychaete,Pilargidae,Phyllodocida,Polychaeta,#N/A,
paraonidae,Polychaete,polychaete,polychaete,worms,polychaete,Paraonidae,Cirratulida,Polychaeta,,
Paraonis fulgens,Polychaete,polychaete,polychaete,worms,polychaete,Paraonidae,Cirratulida,Polychaeta,66697,
Parapionosyllis longici,Polychaete,polychaete,polychaete,worms,polychaete,Syllidae   ,Phyllodocida,Polychaeta,#N/A,
parapionosyllis longicirrata,Polychaete,polychaete,polychaete,worms,polychaete,Syllidae   ,Phyllodocida,Polychaeta,,
Paraprionospio pinnata,Polychaete,polychaete,polychaete,worms,polychaete,Spionidae   ,Spionida,Polychaeta,66937,
Pectinaria gouldii,Polychaete,polychaete,polychaete,worms,polychaete,Pectinariidae,Terebellida,Polychaeta,#N/A,
Pholoe minuta,Polychaete,polychaete,polychaete,worms,polychaete,Pectinariidae,Terebellida,Polychaeta,65074,
Phyllodoce arenae,Polychaete,polychaete,polychaete,worms,polychaete,Pholoidae,Phyllodocida,Polychaeta,65366,
Phyllodoce fragilis,Polychaete,polychaete,polychaete,worms,polychaete,Pholoidae,Phyllodocida,Polychaeta,65337,
phyllodocidae,Polychaete,polychaete,polychaete,worms,polychaete,Pholoidae,Phyllodocida,Polychaeta,,
Pilargidae,Polychaete,polychaete,polychaete,worms,polychaete,Pilargidae,Phyllodocida,Polychaeta,65540,
pista cristata,Polychaete,polychaete,polychaete,worms,polychaete,Terebellidae,Terebellida,Polychaeta,,
Pista palmata,Polychaete,polychaete,polychaete,worms,polychaete,Terebellidae,Terebellida,Polychaeta,67947,
Pista quadrilobata,Polychaete,polychaete,polychaete,worms,polychaete,Terebellidae,Terebellida,Polychaeta,67951,
Platynereis dumerilii,Polychaete,polychaete,polychaete,worms,polychaete,Nereididae,Phyllodocida,Polychaeta,65950,
Podarke obscura,Polychaete,polychaete,polychaete,worms,polychaete,Hesionidae,Phyllodocida,Polychaeta,65517,
Podarkeopsis levifuscin,Polychaete,polychaete,polychaete,worms,polychaete,Hesionidae,Phyllodocida,Polychaeta,#N/A,
podarkeopsis levifuscina,Polychaete,polychaete,polychaete,worms,polychaete,Hesionidae,Phyllodocida,Polychaeta,,
Polycirrus eximius,Polychaete,polychaete,polychaete,worms,polychaete,Terebellidae,Terebellida,Polychaeta,67963,
Polydora cornuta,Polychaete,polychaete,polychaete,worms,polychaete,Spionidae   ,Spionida,Polychaeta,204501,
Polydora websteri,Polychaete,polychaete,polychaete,worms,polychaete,Spionidae   ,Spionida,Polychaeta,66802,
polygordius spp.,Polychaete,polychaete,polychaete,worms,polychaete,Polygordiidae,Canalipalpata,Polychaeta,,
polynoidae,Polychaete,polychaete,polychaete,worms,polychaete,Polynoidae,Phyllodocida,Polychaeta,,
prionospio heterobranchia,Polychaete,polychaete,polychaete,worms,polychaete,Spionidae   ,Spionida,Polychaeta,,
Prionospio perkinsi,Polychaete,polychaete,polychaete,worms,polychaete,Spionidae   ,Spionida,Polychaeta,66854,
Proceraea cornuta,Polychaete,polychaete,polychaete,worms,polychaete,Syllidae   ,Phyllodocida,Polychaeta,65591,
Proceraea spp.,Polychaete,polychaete,polychaete,worms,polychaete,Syllidae   ,Phyllodocida,Polychaeta,#N/A,
protodrilus spp.,Polychaete,polychaete,polychaete,worms,polychaete,Protodrilidae,Polychaeta incertae sedis,Polychaeta,,
Pseudeurythoe paucibran,Polychaete,polychaete,polychaete,worms,polychaete,Amphinomidae,Amphinomida,Polychaeta,#N/A,
pseudeurythoe paucibranchiata,Polychaete,polychaete,polychaete,worms,polychaete,Amphinomidae,Amphinomida,Polychaeta,,
pseudopotamilla reniformis,Polychaete,polychaete,polychaete,worms,polychaete,Sabellaridae,Sabellida,Polychaeta,,
Sabaco elongatus,Polychaete,polychaete,polychaete,worms,polychaete,Maldanidae,Scolecida,Polychaeta,#N/A,
Sabellaria vulgaris,Polychaete,polychaete,polychaete,worms,polychaete,Sabellaridae,Canalipalpata,Polychaeta,67671,
samythella elongata,Polychaete,polychaete,polychaete,worms,polychaete,Ampharetidae,Terebellida,Polychaeta,,
scalibregma inflatum,Polychaete,polychaete,polychaete,worms,polychaete,Scalibregmatidae,Scolecida,Polychaeta,,
Scolelepis bousfieldi,Polychaete,polychaete,polychaete,worms,polychaete,Spionidae   ,Spionida,Polychaeta,66944,
Scolelepis spp.,Polychaete,polychaete,polychaete,worms,polychaete,Spionidae   ,Spionida,Polychaeta,#N/A,
Scolelepis squamata,Polychaete,polychaete,polychaete,worms,polychaete,Spionidae   ,Spionida,Polychaeta,66943,
Scolelepis texana,Polychaete,polychaete,polychaete,worms,polychaete,Spionidae   ,Spionida,Polychaeta,66949,
scoletoma fragilis,Polychaete,polychaete,polychaete,worms,polychaete,Lumbrineridae,Eunicida  ,Polychaeta,,
scoletoma tenuis,Polychaete,polychaete,polychaete,worms,polychaete,Lumbrineridae,Eunicida  ,Polychaeta,,
Scoloplos rubra,Polychaete,polychaete,polychaete,worms,polychaete,Orbiniidae,Scolecida,Polychaeta,66603,
scoloplos texana,Polychaete,polychaete,polychaete,worms,polychaete,Orbiniidae,Scolecida,Polychaeta,,
sigalion arenicola,Polychaete,polychaete,polychaete,worms,polychaete,Sigalionidae,Phyllodocida,Polychaeta,,
Sigambra bassi,Polychaete,polychaete,polychaete,worms,polychaete,Pilargidae,Phyllodocida,Polychaeta,65554,
Sigambra spp.,Polychaete,polychaete,polychaete,worms,polychaete,Pilargidae,Phyllodocida,Polychaeta,#N/A,
Sigambra tentaculata,Polychaete,polychaete,polychaete,worms,polychaete,Pilargidae,Phyllodocida,Polychaeta,65552,
sphaerodoropsis spp.,Polychaete,polychaete,polychaete,worms,polychaete,Sphaerodoridae,Phyllodocida,Polychaeta,,
sphaerosyllis spp.,Polychaete,polychaete,polychaete,worms,polychaete,Syllidae   ,Phyllodocida,Polychaeta,,
Sphaerosyllis taylori,Polychaete,polychaete,polychaete,worms,polychaete,Syllidae   ,Phyllodocida,Polychaeta,65747,
Spio setosa,Polychaete,polychaete,polychaete,worms,polychaete,Spionidae   ,Spionida,Polychaeta,66868,
Spiochaetopterus costar,Polychaete,polychaete,polychaete,worms,polychaete,Chaetopteridae,Phyllodocida,Polychaeta,#N/A,
spiochaetopterus costarum,Polychaete,polychaete,polychaete,worms,polychaete,Chaetopteridae,Phyllodocida,Polychaeta,,
spionidae,Polychaete,polychaete,polychaete,worms,polychaete,Spionidae   ,Spionida,Polychaeta,,
Spiophanes bombyx,Polychaete,polychaete,polychaete,worms,polychaete,Chaetopteridae,Phyllodocida,Polychaeta,66897,
sthenelais boa,Polychaete,polychaete,polychaete,worms,polychaete,Sigalionidae,Phyllodocida,Polychaeta,,
sthenelais spp.,Polychaete,polychaete,polychaete,worms,polychaete,Sigalionidae,Phyllodocida,Polychaeta,,
Streblospio benedicti,Polychaete,polychaete,polychaete,worms,polychaete,Spionidae   ,Spionida,Polychaeta,66939,
Streptosyllis arenae,Polychaete,polychaete,polychaete,worms,polychaete,Syllidae   ,Phyllodocida,Polychaeta,65818,
streptosyllis pettiboneae,Polychaete,polychaete,polychaete,worms,polychaete,Syllidae   ,Phyllodocida,Polychaeta,,
Syllidae,Polychaete,polychaete,polychaete,worms,polychaete,Syllidae   ,Phyllodocida,Polychaeta,65587,
Syllides floridanus,Polychaete,polychaete,polychaete,worms,polychaete,Syllidae   ,Phyllodocida,Polychaeta,65815,
Syllides fulva,Polychaete,polychaete,polychaete,worms,polychaete,Syllidae   ,Phyllodocida,Polychaeta,65811,
Syllides spp.,Polychaete,polychaete,polychaete,worms,polychaete,Syllidae   ,Phyllodocida,Polychaeta,#N/A,
syllides verrilli,Polychaete,polychaete,polychaete,worms,polychaete,Syllidae   ,Phyllodocida,Polychaeta,,
Terebellidae,Polychaete,polychaete,polychaete,worms,polychaete,Terebellidae,Terebellida,Polychaeta,67899,
Thalassema hartmani,Polychaete,polychaete,polychaete,worms,polychaete,Echiuridae,Echiuroidea,Polychaeta,155119,
Tharyx sp. A Morris,Polychaete,polychaete,polychaete,worms,polychaete,Cirratulidae,Terebellida,Polychaeta,#N/A,
tharyx spp.,Polychaete,polychaete,polychaete,worms,polychaete,Cirratulidae,Terebellida,Polychaeta,,
travisia spp.,Polychaete,polychaete,polychaete,worms,polychaete,Travisiidae,Scolecida,Polychaeta,,